,Unnamed: 0,Unnamed: 0.1,Danceability,Mode,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),ID_CHECK,Song name,Artist,Album,ID,Class
81,186,49,0.731,0,0.482,11,-10.841,0.154,0.0536,9.59E-05,0.0324,0.877,172.107,302667,3UBL5FEA4JgMHj2z94fLSW,Thanga Thamari Magale,A.R. Rahman,Minsara Kanavu (Orignal Motion Picture Soundtrack),3UBL5FEA4JgMHj2z94fLSW,1
414,225,6,0.652,1,0.653,2,-10.263,0.213,0.0358,0,0.081,0.776,185.931,208064,6lpbzOMBOYHRsp6WEMvRvn,"Jolly O Gymkhana (From ""Beast"")",Anirudh Ravichander,"Jolly O Gymkhana (From ""Beast"")",6lpbzOMBOYHRsp6WEMvRvn,1
403,169,38,0.55,0,0.246,0,-12.503,0.03,0.834,0.00279,0.0977,0.218,119.836,251000,47Cd4WP1ZOK8WXC68kqZ03,Ennadi Maayavi Nee,Santhosh Narayanan,VadaChennai (Original Motion Picture Soundtrack),47Cd4WP1ZOK8WXC68kqZ03,0
494,142,11,0.662,1,0.688,0,-9.019,0.0413,0.0422,0.000918,0.431,0.365,102.95,202136,19O4hCGGm95UhvIyhwnNT5,"Thooriga - From ""Navarasa""",Karthik,"Thooriga (From ""Navarasa"")",19O4hCGGm95UhvIyhwnNT5,0
296,204,73,0.578,1,0.629,10,-6.774,0.118,0.602,0,0.0708,0.528,104.097,298849,04NcPs5V6181I5hvUFY4Vp,Sara Sara Saara Kathu,Ghibran,Vaagai Sooda Vaa (Original Motion Picture Soundtrack),04NcPs5V6181I5hvUFY4Vp,0
775,209,24,0.818,0,0.685,10,-7.914,0.0674,0.236,0.000144,0.178,0.537,104.984,367595,01VZmyBOAh5PkZzvv8s0FQ,Kadhal Yen Kadhal,G. V. Prakash,Mayakkam Yenna (Original Motion Picture Soundtrack),01VZmyBOAh5PkZzvv8s0FQ,2
594,216,31,0.414,1,0.202,11,-13.25,0.033,0.786,1.27E-06,0.162,0.21,82.633,306147,7isB5O0wJHijPNIyMFZujH,Yengae Sellum,Ilaiyaraaja,Sethu (Original Motion Picture Soundtrack),7isB5O0wJHijPNIyMFZujH,2
257,57,57,0.589,1,0.534,7,-13.129,0.188,0.491,8.10E-06,0.0847,0.755,175.951,325787,2hgWckrY17vZrDGFEjeCCW,Gulmuhar Malare,Harris Jayaraj,Majunu (Original Motion Picture Soundtrack),2hgWckrY17vZrDGFEjeCCW,1
560,149,25,0.381,1,0.577,9,-7.02,0.0933,0.674,0,0.0903,0.423,167.719,281429,07aADAqhVze8oPrzBil7FX,Pogatha Yennavittu,Sam C.S.,Vikram Vedha (Original Motion Picture Soundtrack),07aADAqhVze8oPrzBil7FX,0
645,162,38,0.581,0,0.399,11,-9.322,0.0325,0.916,0,0.169,0.183,98.025,124997,16ASkQZ0cTrSdUYU1TB2nt,Kanave Nee Naan,Masala Coffee,Kannum Kannum Kollaiyadithaal,16ASkQZ0cTrSdUYU1TB2nt,2
135,146,9,0.702,1,0.478,10,-10.873,0.0363,0.096,1.57E-05,0.135,0.901,155.997,405603,6n6g7h9O6WXE1eWZzsYq9w,Eetchi Elumichi,A.R. Rahman,Taj Mahal (Original Motion Picture Soundtrack),6n6g7h9O6WXE1eWZzsYq9w,0
648,98,27,0.731,1,0.225,9,-10.104,0.0294,0.646,9.25E-06,0.0712,0.174,110.033,183227,6K3fnk9rMPsl7YDIOLocgT,Vaarthai Thavarivittai,Ilaiyaraaja,Sethu (Original Motion Picture Soundtrack),6K3fnk9rMPsl7YDIOLocgT,2
5,18,18,0.576,1,0.792,1,-5.225,0.0588,0.139,0.000124,0.096,0.501,140.115,272571,0oSlrW5xHJUAZpn5Qoj9qc,"Neeye Unakku Raja - From ""Thoongaavanam""",Various Artists,"Neeye Unakku Raja (From ""Thoongaavanam"")",0oSlrW5xHJUAZpn5Qoj9qc,3
531,221,2,0.826,1,0.779,0,-5.609,0.375,0.35,0,0.0657,0.936,130.091,211385,5WWplXimzIjlJiN2N7T9Q3,"Pathala Pathala (From ""Vikram"")",Anirudh Ravichander,"Pathala Pathala (From ""Vikram"")",5WWplXimzIjlJiN2N7T9Q3,1
623,61,61,0.541,0,0.369,6,-7.376,0.0284,0.598,0,0.659,0.417,139.849,264552,57C2emenhsov770NmD7Y6R,Kannamma - Reprise,Leon James,"KO, 2 (Original Motion Picture Soundtrack)",57C2emenhsov770NmD7Y6R,1
569,24,24,0.501,1,0.371,7,-11.093,0.0291,0.891,0.000114,0.101,0.286,129.871,275093,5PNZX8yqzqqAMPpl3UAoaP,Moongil Thottam,A.R. Rahman,Kadal (Original Motion Picture Soundtrack),5PNZX8yqzqqAMPpl3UAoaP,0
456,14,14,0.261,1,0.603,0,-6.733,0.0367,0.558,0,0.184,0.207,158.125,352711,7mLEUzAulFygMchoGMrP8E,Ennodu Nee Irundhaal,A.R. Rahman,I (Original Motion Picture Soundtrack),7mLEUzAulFygMchoGMrP8E,2
176,15,15,0.52,0,0.703,4,-7.323,0.0533,0.476,0,0.534,0.647,90.088,320880,4ErHQbttW6vZCkCyiVDkjY,Aasai Aasai,Vikram,Dhol (Original Motion Picture Soundtrack),4ErHQbttW6vZCkCyiVDkjY,1
753,179,55,0.518,0,0.552,0,-8.647,0.0476,0.772,0.000153,0.13,0.182,119.895,226570,5K7homYDgB6KWuhdtg6wP7,Pogiren,Santhosh Narayanan,36 Vayadhinile (Original Motion Picture Soundtrack),5K7homYDgB6KWuhdtg6wP7,0
696,132,8,0.585,0,0.271,4,-12.56,0.0413,0.744,0.00137,0.168,0.438,124.895,289853,3gJbCMoDT9rUmPS1GPd6kn,Kannamma,Santhosh Narayanan,Kaala (Tamil) (Original Motion Picture Soundtrack),3gJbCMoDT9rUmPS1GPd6kn,0
606,142,18,0.622,0,0.709,0,-5.061,0.0513,0.309,6.38E-06,0.163,0.488,160.029,250684,1fknE84SHjsgzjkh1H98Yf,Dope Track,Yuvan Shankar Raja,Pyaar Prema Kaadhal (Original Motion Picture Soundtrack),1fknE84SHjsgzjkh1H98Yf,2
551,60,60,0.793,0,0.571,7,-6.289,0.0341,0.0439,0.000215,0.193,0.692,90.986,333600,25SOVnk2agskqzqeKPcx2Q,Ennamo Yeadho,Harris Jayaraj,KO (Original Motion Picture Soundtrack),25SOVnk2agskqzqeKPcx2Q,1
294,95,95,0.489,0,0.595,3,-3.788,0.0273,0.262,0,0.0813,0.459,144.859,223327,7fttjqzmvgvpRQoOzyYng3,Po Indru Neeyaga,Anirudh Ravichander,Velai Illa Pattadhaari (Original Motion Picture Soundtrack),7fttjqzmvgvpRQoOzyYng3,0
428,45,45,0.678,1,0.776,2,-5.827,0.0828,0.446,0,0.127,0.625,85.942,308162,5Nuv6312XkkZd82AnnSc9g,Pookkalae Sattru Oyivedungal,A.R. Rahman,I (Original Motion Picture Soundtrack),5Nuv6312XkkZd82AnnSc9g,1
430,143,12,0.875,0,0.539,3,-8.364,0.0367,0.0586,0.0047,0.116,0.305,115.004,317739,3FRLxtpSk9BxxnxdS6I4jq,Iragai Poley,Yuvan Shankar Raja,Naan Mahaan Alla (Original Motion Picture Soundtrack),3FRLxtpSk9BxxnxdS6I4jq,0
271,185,48,0.756,0,0.552,11,-10.428,0.24,0.0399,2.11E-05,0.115,0.58,93.017,354120,5EZpFUuahnOmwVxoQVJz1A,Huu Huu Lalala-Manamadurai,A.R. Rahman,Minsara Kanavu (Orignal Motion Picture Soundtrack),5EZpFUuahnOmwVxoQVJz1A,1
578,165,41,0.514,1,0.423,0,-8.388,0.04,0.87,0,0.0785,0.362,117.87,230063,19nEFsswIftvopxVMUAM9b,Agayam Theepiditha,Santhosh Narayanan,Madras (Original Motion Picture Soundtrack),19nEFsswIftvopxVMUAM9b,0
589,54,54,0.43,0,0.96,5,-2.721,0.419,0.0859,0,0.0617,0.454,151.92,169193,7wXCinXw50iT5VdReFalv2,"Breakup Song - From ""Naan Sirithal""",Hiphop Tamizha,"Breakup Song (From ""Naan Sirithal"")",7wXCinXw50iT5VdReFalv2,1
169,177,40,0.611,1,0.327,3,-15.109,0.0352,0.555,0,0.108,0.431,97.016,312033,5KfLr5UF3iQN0ifFMQH0ol,Ennavale Adi Ennavale,A.R. Rahman,Kaadhalan,5KfLr5UF3iQN0ifFMQH0ol,1
706,185,0,0.694,0,0.425,8,-10.189,0.0349,0.63,3.05E-06,0.182,0.348,118.869,239177,3JHqj3WfflTssLpj1Ymsw2,Poi Vazhva,Santhosh Narayanan,Manithan (Original Motion Picture Soundtrack),3JHqj3WfflTssLpj1Ymsw2,2
314,68,68,0.68,1,0.419,2,-9.157,0.031,0.295,5.74E-06,0.097,0.181,92.015,329280,73dPMLKVaaOSS0TWe8oNmw,Ennai Saaithaalae,Harris Jayaraj,Endrendrum Punnagai (Original Motion Picture Soundtrack),73dPMLKVaaOSS0TWe8oNmw,0
383,29,29,0.747,1,0.532,4,-8.897,0.0365,0.286,0.0016,0.103,0.634,136.962,374760,2DnfC8ghXPQgn1SKPCCL6S,Mun Andhi,Harris Jayaraj,7 Aum Arivu (Original Motion Picture Soundtrack),2DnfC8ghXPQgn1SKPCCL6S,1
201,45,45,0.666,0,0.461,10,-12.917,0.0532,0.232,0.00207,0.126,0.539,83.967,303853,7ntKJDVNhQjwGph1eOL28e,"Oliyilea - Language: Tamil; Film: Azagki; Film Artists: Parthiban, Nandita Dass",Bharadwaj,Autograph & Azagki,7ntKJDVNhQjwGph1eOL28e,2
11,24,24,0.869,1,0.606,2,-6.199,0.398,0.0133,0.000187,0.128,0.57,119.944,234210,34ukOxUQQCWSWKRpdv4gRt,Ding Dong,Santhosh Narayanan,Jigarthanda (Original Motion Picture Soundtrack),34ukOxUQQCWSWKRpdv4gRt,3
508,199,68,0.58,1,0.414,9,-10.928,0.0343,0.678,2.26E-05,0.257,0.27,136.93,266053,5RR6Q4yCrbGiRCU5YbpNaY,Unakaga,A.R. Rahman,Bigil (Original Motion Picture Soundtrack),5RR6Q4yCrbGiRCU5YbpNaY,1
549,1,1,0.595,0,0.759,7,-5.623,0.0321,0.695,0.000307,0.123,0.391,104.997,279929,0BUAsqNC3bCIBuhOE1JqTt,Enthaaraa Enthaaraa,Ghibran,Thirumanam Enum Nikkah (Original Motion Picture Soundtrack),0BUAsqNC3bCIBuhOE1JqTt,1
686,65,65,0.636,1,0.67,9,-6.693,0.0307,0.128,0.00401,0.104,0.522,140.092,346160,5Toj8uGqy5Tyb6nXxPU3RD,Aaromale,A.R. Rahman,Vinnathaandi Varuvaayaa (Original Motion Picture Soundtrack),5Toj8uGqy5Tyb6nXxPU3RD,2
412,167,36,0.641,1,0.474,2,-8.974,0.034,0.457,2.54E-06,0.106,0.588,76.006,340254,55mEN7iiqTNzWfYjF8QbQn,"Oru Manam (From ""Dhruva Natchathiram"")",Harris Jayaraj,"Oru Manam (From ""Dhruva Natchathiram"")",55mEN7iiqTNzWfYjF8QbQn,1
57,184,47,0.614,1,0.299,2,-16.16,0.0336,0.684,2.42E-06,0.15,0.418,87.995,309107,4ozxqvQ1b6z3ItRyYixXjx,Netru Illatha Maatram,A.R. Rahman,Pudhiya Mugam (Original Motion Picture Soundtrack),4ozxqvQ1b6z3ItRyYixXjx,0
33,32,32,0.436,1,0.944,7,-5.409,0.0515,0.208,0.561,0.217,0.83,133.067,79200,3erSGNZevNV24ksCDakTPV,Torchlight Fight,Anirudh Ravichander,Petta (Original Background Score),3erSGNZevNV24ksCDakTPV,3
471,207,76,0.784,0,0.631,0,-9.952,0.0429,0.452,0.0163,0.175,0.729,100.01,249973,4jk5H0R3x6MDCLryHuHUN9,Mazhaiye Mazhaiye,Thaman S,Eeram (Original Motion Picture Soundtrack),4jk5H0R3x6MDCLryHuHUN9,1
220,51,51,0.695,1,0.432,2,-12.913,0.154,0.493,2.13E-06,0.116,0.337,89.995,348600,47U3KMLwwxyCW7yQmxHFgi,Swasamae,A.R. Rahman,Thenali (Original Motion Picture Soundtrack),47U3KMLwwxyCW7yQmxHFgi,0
141,154,17,0.8,1,0.371,0,-19.076,0.0823,0.0145,0.000595,0.0777,0.532,93.017,374538,6gGfcvpyTSM8G1Vf5xUGYW,Telephone Mani Pol,Various Artists,Indian,6gGfcvpyTSM8G1Vf5xUGYW,1
710,77,6,0.526,1,0.217,2,-17.197,0.028,0.596,0,0.0848,0.224,90.933,339885,4yYC3zTax1P6wu4rIvQ5yQ,Thean Kizhakku Cheemaielea,Various Artists,Kizhakku Cheemayile,4yYC3zTax1P6wu4rIvQ5yQ,2
465,148,17,0.409,0,0.29,7,-9.136,0.0383,0.552,3.82E-06,0.54,0.291,179.895,320235,5jkH9Pgv28mW9ve6uGtohT,En Jeevan,G. V. Prakash,Theri (Original Motion Picture Soundtrack),5jkH9Pgv28mW9ve6uGtohT,0
1,42,42,0.716,1,0.38,7,-10.297,0.0506,0.16,0,0.103,0.47,119.962,198000,42Pbh5jvGYbpvqUzEtDE2E,Kill and Destroy,Sam C.S.,Kaithi (Original Background Score),42Pbh5jvGYbpvqUzEtDE2E,3
518,100,100,0.612,0,0.518,4,-8.888,0.19,0.639,8.47E-05,0.0817,0.527,159.894,301987,0rFdbImiFCvAY8jD2aE391,Vizhigalile,V. Selvaganesh,Kulla Nari Kootam (Original Motion Picture Soundtrack),0rFdbImiFCvAY8jD2aE391,0
199,191,54,0.511,1,0.384,3,-7.425,0.0268,0.208,0,0.0772,0.411,100.172,434527,0hUGQUSf8YcHdOnQG9AFth,Uyire Uyire,Various Artists,Bombay,0hUGQUSf8YcHdOnQG9AFth,1
654,38,38,0.537,1,0.393,5,-14.671,0.0406,0.619,0.00928,0.0873,0.26,96.95,370613,1kEBn42BGm8y3nQUjQvUve,Aaruyire,G. V. Prakash,Madharasapattinam (Original Motion Picture Soundtrack),1kEBn42BGm8y3nQUjQvUve,2
207,53,53,0.828,0,0.494,0,-9.829,0.0366,0.546,7.53E-05,0.1,0.756,125.835,301067,1HgXDQ3RXQ6Jv9MiejswlS,Paattu Solli,Ilaiyaraaja,Azhagi (Original Motion Picture Soundtrack),1HgXDQ3RXQ6Jv9MiejswlS,2
43,46,46,0.527,1,0.876,9,-9.193,0.11,0.718,2.19E-05,0.537,0.309,109.021,212259,4zzttZti7oNKG9438Jmcm6,Blood bath,Adhya,Blood bath,4zzttZti7oNKG9438Jmcm6,3
410,164,33,0.837,0,0.948,9,-5.135,0.199,0.447,2.51E-05,0.19,0.825,111.028,260698,7n5Jcqw85WSfJHrMXsk5N2,Mangalyam,Thaman S,Eeswaran (Original Motion Picture Soundtrack),7n5Jcqw85WSfJHrMXsk5N2,1
144,80,21,0.822,0,0.446,7,-8.899,0.0321,0.486,0.00102,0.147,0.654,119.994,320960,5TL3UHuEBRMPbAIAOiPJmc,Enkeyoo Partha,Yuvan Shankar Raja,Yaaradi Nee Mohini (Original Motion Picture Soundtrack),5TL3UHuEBRMPbAIAOiPJmc,0
732,157,33,0.685,0,0.476,0,-9.573,0.0369,0.83,0.257,0.092,0.601,142.411,97000,2dnAqKYsZRuNVOJ9OVH7Ov,Pona Pogattum,Anirudh Ravichander,Master (Original Motion Picture Soundtrack),2dnAqKYsZRuNVOJ9OVH7Ov,2
275,116,57,0.719,0,0.566,5,-6.156,0.0434,0.113,3.94E-06,0.075,0.759,164.939,229997,0Nfw28ZsBiOXmFKP636P7h,Ariyadha Vayasu,Yuvan Shankar Raja,Paruthiveeran,0Nfw28ZsBiOXmFKP636P7h,1
708,53,53,0.618,1,0.275,10,-10.65,0.0287,0.795,0,0.113,0.736,104.969,83693,7xsjyxtTR5aXwWaNjhBoS6,Muthu Mazhaiye,Various Artists,Mazhai (Original Motion Picture Soundtrack),7xsjyxtTR5aXwWaNjhBoS6,0
488,135,4,0.665,0,0.596,9,-6.969,0.0278,0.293,3.67E-05,0.247,0.644,110.055,264507,0xttqqTj7ZAGyVkfOYxQ4F,Nee Paartha Vizhigal - The Touch of Love,Anirudh Ravichander,3 (Original Motion Picture Soundtrack),0xttqqTj7ZAGyVkfOYxQ4F,0
118,117,58,0.55,1,0.867,0,-8.191,0.0517,0.393,0,0.131,0.832,177.021,309320,21MDZyeREmUX7n6nvHWuxM,Aval Ulaghazhagi,Various Artists,Lesa Lesa (Original Motion Picture Soundtrack),21MDZyeREmUX7n6nvHWuxM,1
655,225,40,0.737,0,0.357,0,-10.464,0.0317,0.459,0.000118,0.109,0.302,91.006,312345,5WPlDZ8Go3iEVW3LmwgZsi,Engade Nee Ponae,Harris Jayaraj,Dev,5WPlDZ8Go3iEVW3LmwgZsi,2
269,211,74,0.675,0,0.27,9,-19.694,0.799,0.184,0,0.209,0.853,96.205,252188,0wD9Mx7IO9xpOz6L0FgDln,Yeadhukku Pondaatti,Various Artists,Kizhakku Cheemayile,0wD9Mx7IO9xpOz6L0FgDln,1
211,188,51,0.834,1,0.326,9,-20.061,0.0662,0.0149,1.48E-05,0.0678,0.707,129.033,338559,5KRBc2QCh13xUtBX8Vdg75,Romeo Attam Potal,Various Artists,Mr. Romeo,5KRBc2QCh13xUtBX8Vdg75,1
263,89,30,0.608,0,0.642,2,-7.385,0.304,0.151,4.72E-06,0.072,0.803,81.523,257707,2VBaXceRw10VmyE6AneL3T,Vasaantha Mullai,Mani Sharma,Pokkiri,2VBaXceRw10VmyE6AneL3T,0
436,209,78,0.687,0,0.558,5,-5.858,0.0256,0.443,0,0.186,0.617,118.007,269832,0srLmMJws5nv8d1n9qrtro,Yembuttu Irukkuthu Aasai,D. Imman,Saravanan Irukka Bayamaen (Original Motion Picture Soundtrack),0srLmMJws5nv8d1n9qrtro,1
584,85,14,0.716,0,0.449,4,-14.293,0.0386,0.345,2.90E-06,0.0937,0.697,116.731,242653,6PxDtpIAh6EiMsGeMCNo5X,Kadhal Vennila (Sad),S.A. Rajkumar,Vaanathai Pola (Original Motion Picture Soundtrack),6PxDtpIAh6EiMsGeMCNo5X,2
142,214,77,0.732,0,0.483,4,-12.449,0.135,0.385,0,0.342,0.259,102.017,249391,29KTBIKFx7HxFX1DhHGg0y,Vennilavin Theril Yeri,A.R. Rahman,Duet,29KTBIKFx7HxFX1DhHGg0y,1
467,110,110,0.843,0,0.759,10,-6.818,0.0537,0.0351,0.00116,0.258,0.858,97.021,344347,3JB6vpzQ78uWEyKnjjDQY9,Amali Thumali,Harris Jayaraj,KO (Original Motion Picture Soundtrack),3JB6vpzQ78uWEyKnjjDQY9,1
45,31,31,0.655,1,0.971,11,-5.574,0.076,0.0196,5.61E-06,0.0724,0.711,96.997,238375,3r00sgm8aoOg6RyWR4t8hr,"Petta Paraak - From ""Petta""",Anirudh Ravichander,Petta (Original Motion Picture Soundtrack),3r00sgm8aoOg6RyWR4t8hr,3
762,95,24,0.679,0,0.562,9,-9.231,0.0447,0.437,7.68E-05,0.139,0.852,145.871,230480,0sOq5th73PSWybFxXJHowV,Kizhaku Sivakayile,Aadithyan,Seevalaperi Pandi (Original Motion Picture Soundtrack),0sOq5th73PSWybFxXJHowV,2
506,6,6,0.627,1,0.495,2,-4.466,0.0284,0.448,0,0.124,0.749,136.975,289707,3TIeBL7HhoIzqMVKAic32P,Onakkaaga Poranthaenae,Justin Prabhakaran,Onakkaaga Poranthaenae,3TIeBL7HhoIzqMVKAic32P,0
458,52,52,0.55,1,0.525,6,-5.015,0.0296,0.698,1.05E-06,0.0916,0.543,138.009,274107,5KUp3VNVnUUTADBi6Ep2nk,Yaarumilla,A.R. Rahman,Kaaviyathalaivan (Original Motion Picture Soundtrack),5KUp3VNVnUUTADBi6Ep2nk,0
615,221,36,0.411,1,0.293,5,-10.393,0.0298,0.801,0.000591,0.0721,0.139,179.81,175333,19ZQT32TiC6SrzeWj4O94f,Dheivangal Ellaam,Yuvan Shankar Raja,Kedi Billa Killadi Ranga (Original Motion Picture Soundtrack),19ZQT32TiC6SrzeWj4O94f,2
341,185,54,0.427,0,0.646,4,-1.708,0.03,0.163,0,0.301,0.543,159.998,264314,6LtQGnMSsQ859t930Anbyk,Senthoora,D. Imman,Bogan (Original Motion Picture Soundtrack),6LtQGnMSsQ859t930Anbyk,1
726,148,24,0.442,0,0.235,4,-13.808,0.0421,0.89,3.86E-06,0.106,0.249,171.137,275504,5iXFBbApLVdTta1BrM3QTv,Unna Nenachu,Ilaiyaraaja,Psycho (Tamil) [Original Motion Picture Soundtrack],5iXFBbApLVdTta1BrM3QTv,0
317,138,7,0.692,0,0.624,9,-6.492,0.0337,0.368,0,0.108,0.487,132.896,270376,6EB454nVg2u6sbeCvWAPej,"Yaanji - From ""Vikram Vedha""",Sam C.S.,"Yaanji (From ""Vikram Vedha"")",6EB454nVg2u6sbeCvWAPej,0
309,171,40,0.659,0,0.776,10,-8,0.0373,0.0268,0.0674,0.197,0.669,100.247,309000,7mAmuoXcbyjXz4rTHEOCiG,Kaadhal Vaithu,Yuvan Shankar Raja,Deepavali (Original Motion Picture Soundtrack),7mAmuoXcbyjXz4rTHEOCiG,0
469,119,119,0.66,0,0.756,0,-5.637,0.0393,0.45,0,0.0422,0.778,119.93,264600,7wBZF3nBfrKlIZ0bEwtw5a,Ayayayoo Aananthamey,D. Imman,Kumki (Original Motion Picture Soundtrack),7wBZF3nBfrKlIZ0bEwtw5a,1
605,138,14,0.36,1,0.502,0,-8.412,0.0352,0.627,0,0.266,0.264,95.615,144504,2r7BRkzsesliXq82UyxZXJ,"Kalangathey (From ""Anbarivu"")",Bamba Bakya,"Kalangathey (From ""Anbarivu"")",2r7BRkzsesliXq82UyxZXJ,2
323,238,19,0.75,0,0.813,11,-5.871,0.132,0.254,0,0.298,0.687,100.022,275625,1Bpvh9xYlcxHkWJMQuiNiA,Cute Ponnu,Vivek - Mervin,"Cute Ponnu (From ""Enna Solla Pogirai"")",1Bpvh9xYlcxHkWJMQuiNiA,1
619,2,2,0.571,0,0.477,5,-7.546,0.0253,0.328,1.26E-05,0.33,0.483,99.036,324049,5Tu2xARdujxgjxazGYvD7n,Ennai Kollathey,Ztish,Geethaiyin Raadhai,5Tu2xARdujxgjxazGYvD7n,2
771,6,6,0.638,0,0.324,0,-7.787,0.0321,0.923,3.35E-05,0.151,0.446,129.932,87133,5jXrULyYKHjkAMk4TXZFoG,Kaadhal Endral,Yuvan Shankar Raja,Goa (Original Motion Picture Soundtrack),5jXrULyYKHjkAMk4TXZFoG,2
665,39,39,0.739,1,0.522,7,-8.587,0.0383,0.139,3.30E-06,0.0987,0.33,120.02,277853,0DAGFNb2Mn8jYt69rcRnsY,Neeya Pesiyathu,Vidyasagar,Thirumalai (Original Motion Picture Soundtrack),0DAGFNb2Mn8jYt69rcRnsY,2
292,86,86,0.835,0,0.739,11,-5.832,0.0448,0.164,0,0.0812,0.675,111.986,342548,5ich0wSxDxMryEjwZo6XzG,Mazhai Vara Pogudhae,Harris Jayaraj,Yennai Arindhaal (Original Motion Picture Soundtrack),5ich0wSxDxMryEjwZo6XzG,1
54,187,50,0.831,1,0.585,2,-12.624,0.0754,0.0322,1.29E-05,0.094,0.707,100,404307,32A7ZQqmiIuZDE2y0hFQS3,Poo Pookkum Osai Adhai,A.R. Rahman,Minsara Kanavu (Orignal Motion Picture Soundtrack),32A7ZQqmiIuZDE2y0hFQS3,1
780,184,60,0.676,0,0.52,7,-5.539,0.0403,0.524,2.48E-05,0.0984,0.631,90.057,285133,1MTqeIucWQh0Bf4hatQWxt,Po Po Po - Soundtrack Version,Various Artists,Manam Kothi Paravai (Soundtrack Version),1MTqeIucWQh0Bf4hatQWxt,2
378,144,13,0.65,0,0.783,7,-6.197,0.0377,0.22,3.71E-06,0.182,0.302,109.959,204867,6NwEpX2JUWHVKWfDDfcqC4,Idhazhin Oram - The Innocence of Love,Anirudh Ravichander,3 (Original Motion Picture Soundtrack),6NwEpX2JUWHVKWfDDfcqC4,0
466,16,16,0.803,0,0.795,4,-7.429,0.0337,0.143,3.80E-05,0.0706,0.749,99.008,380996,3PzkxdshpgSkWrEeVqTsDe,Asku Laska,Harris Jayaraj,Nanban (Original Motion Picture Soundtrack),3PzkxdshpgSkWrEeVqTsDe,0
290,226,7,0.837,1,0.691,1,-4.982,0.147,0.0207,0.00361,0.198,0.648,140.047,176345,7mhJ08BCG6goQ8mPpk9TuZ,Two Two Two,Anirudh Ravichander,Kaathuvaakula Rendu Kaadhal (Original Motion Picture Soundtrack),7mhJ08BCG6goQ8mPpk9TuZ,1
690,60,60,0.726,0,0.866,7,-4.724,0.223,0.472,0,0.273,0.575,132.004,287273,2qWtVodJgQ6HtLgNuAK8Nb,Adiyae Ivalaey,D. Imman,Romeo Juliet (Original Motion Picture Soundtrack),2qWtVodJgQ6HtLgNuAK8Nb,1
248,74,15,0.669,0,0.53,5,-6.827,0.126,0.499,0.000484,0.099,0.522,192.383,407448,4Yy2VhegGoOHKNY1uDyZMM,Loosu Pennae,Yuvan Shankar Raja,Vallavan (Original Motion Picture Soundtrack),4Yy2VhegGoOHKNY1uDyZMM,2
676,8,8,0.594,0,0.454,5,-9.422,0.0755,0.497,3.83E-05,0.0736,0.705,133.825,318493,1wIfq9Zul77qAtokyLTlXr,Ava Enna,Harris Jayaraj,Vaaranam Aayiram (Original Motion Picture Soundtrack),1wIfq9Zul77qAtokyLTlXr,2
554,82,82,0.632,0,0.482,0,-7.934,0.108,0.771,0.00023,0.109,0.746,119.989,218173,384x7qDzho8phQt5NoCofh,Angnyaade,G. V. Prakash Kumar,Raja Rani (Original Motion Picture Soundtrack),384x7qDzho8phQt5NoCofh,1
408,78,78,0.797,0,0.279,0,-8.947,0.423,0.781,0.000101,0.326,0.813,180.066,217459,2lOrPIWA114GA1OFEcHc8R,Ei Suzhali,Santhosh Narayanan,Kodi (Original Motion Picture Soundtrack),2lOrPIWA114GA1OFEcHc8R,1
237,150,13,0.684,0,0.557,5,-11.187,0.0296,0.0183,0,0.17,0.799,122.009,332429,5FfRt0NaBuDIHpRgsiCkWu,Anbae Anbae,A.R. Rahman,Jeans (Original Motion Picture Soundtrack),5FfRt0NaBuDIHpRgsiCkWu,1
564,37,37,0.506,1,0.532,0,-6.494,0.0306,0.768,5.37E-05,0.0889,0.456,140.175,311429,0FTPiuMAGuvXVjeXh7g8ot,Seramal Ponal,Vivek - Mervin,Gulaebaghavali (Original Motion Picture Soundtrack),0FTPiuMAGuvXVjeXh7g8ot,2
638,10,10,0.549,0,0.619,4,-6.924,0.0344,0.372,7.67E-06,0.146,0.407,90.034,251787,6zdikHQs2PBFgGIZBxqOeV,Po Nee Po - The Pain of Love,Anirudh Ravichander,3 (Original Motion Picture Soundtrack),6zdikHQs2PBFgGIZBxqOeV,2
308,182,51,0.483,0,0.693,0,-6.646,0.0908,0.285,2.27E-06,0.117,0.648,183.954,230431,6b84SSP7e5LwfvNPoDPshX,"Hi Sonna Pothum (From ""Comali"")",Hiphop Tamizha,"Hi Sonna Pothum (From ""Comali"")",6b84SSP7e5LwfvNPoDPshX,1
146,229,92,0.792,1,0.525,8,-13.526,0.102,0.635,2.92E-05,0.0566,0.707,110.944,495882,01iiqDKJPQpfCOgG4rfjid,Mettuppodu Mettuppodu,A.R. Rahman,Duet,01iiqDKJPQpfCOgG4rfjid,0
478,141,10,0.467,0,0.826,4,-3.885,0.049,0.298,0,0.204,0.417,160.025,285250,0zsA45R0SQPfqC5TyDOqY8,Neeyum Naanum Anbe,Hiphop Tamizha,Imaikkaa Nodigal (Original Motion Picture Soundtrack),0zsA45R0SQPfqC5TyDOqY8,0
20,26,26,0.655,1,0.809,9,-6.634,0.104,0.0812,0,0.185,0.559,85.023,228353,5A6cWSeDqJqMwt2ylrVHko,Naan Dhaan Da Mass,Santhosh Narayanan,Jagame Thandhiram (Original Motion Picture Soundtrack),5A6cWSeDqJqMwt2ylrVHko,3
